Year,Expected_Inflation,Expected_Inflation_Change,Long_Interest_Rate,Inflation,Real_Rate_ExPost,Real_Rate_Cleveland,ILB_Return_ExPost,ILB_Return_Cleveland,Bond_Return,ILB_Return,Equity_Return
2008,0.0028299556999999997,0.00305223572553859,0.0225,-0.0002222800255385904,0.02272228002553859,0.0097537985,-0.23501455344685301,0.054806304074461396,0.179,0.054806304074461396,-0.4054059149109446
2009,0.017866036999999998,-0.010275194232083677,0.0385,0.028141231232083674,0.010358768767916325,0.008480405600000001,0.1744986238338449,0.05062895873208367,-0.16,0.05062895873208367,0.4388756079465832
2010,0.014938723000000001,0.0005607927778206317,0.033,0.01437793022217937,0.018622069777820632,0.0062620927,-0.05789631110894738,0.04504146482217938,0.05499999999999998,0.04504146482217938,0.16910296807174485
2011,0.017116627,-0.013504041384193862,0.0189,0.03062066838419386,-0.01172066838419386,0.0014446830999999998,0.35267011978215945,0.08505685708419386,0.14100000000000001,0.08505685708419386,-0.017988065755200844
2012,0.021029067999999998,0.0034340182031044747,0.0178,0.017595049796895523,0.00020495020310447656,-0.0017237745,-0.1133818044602817,0.050724308896895526,0.011000000000000003,0.050724308896895526,0.15905418114120118
2013,0.019240314,0.004111930332426704,0.0304,0.015128383667573297,0.015271616332426702,0.0041829993,-0.13533332742254447,-0.04566312883242671,-0.126,-0.04566312883242671,0.38320124788459053
2014,0.021860996,0.01532978208037681,0.0217,0.006531213919623191,0.01516878608037681,0.0038472537,0.022831132772548824,0.014071669219623195,0.087,0.014071669219623195,0.13395138139008145
2015,0.0146795515,0.00829230398463521,0.0227,0.006387247515364791,0.01631275248463521,0.0064742223,0.010116369553157593,-0.016035184784635205,-0.010000000000000009,-0.016035184784635205,0.05729669239133872
2016,0.022917332,0.0024093428848801363,0.0245,0.020507989115119862,0.003992010884880139,0.0070045658,0.1600281575973058,0.021678776415119855,-0.017999999999999995,0.021678776415119855,0.07503080434795639
2017,0.028240747599999998,0.0069414404044774655,0.024,0.021299307195522532,0.0027006928044774683,0.0057304923,0.03820449888442937,0.041044607995522536,0.0050000000000000044,0.041044607995522536,0.2824142876250204
2018,0.0198107002,-0.0002131088434010643,0.0269,0.020023809043401064,0.006876190956598936,0.0125496666,-0.019030479673336147,-0.042437441656598934,-0.028999999999999998,-0.042437441656598934,-0.03883744073563866
2019,0.0170378442,-0.006157430499624458,0.0192,0.023195274699624457,-0.003995274699624459,0.0051426493,0.13878612221845735,0.10981511429962446,0.07700000000000001,0.10981511429962446,0.3522564232406169
2020,0.0164952129,0.003291021584220566,0.009300000000000001,0.013204191315779434,-0.0039041913157794334,-0.0023232146,0.008298082777704718,0.09300547961577943,0.09899999999999998,0.09300547961577943,0.4364041637875309
2021,0.0262030861,-0.045540316750655396,0.0152,0.07174340285065539,-0.05654340285065539,0.0009168917,0.5942313268836356,0.03701912525065539,-0.05899999999999999,0.03701912525065539,0.21389122520615622
2022,0.0286811918,-0.035364812223571525,0.0388,0.06404600402357152,-0.025246004023571522,0.0157612515,-0.3054713870979226,-0.08348070227642848,-0.23600000000000004,-0.08348070227642848,-0.3310003151172549
2023,0.0309166499,-0.0022424495271029347,0.0388,0.033159099427102934,0.005640900572897067,0.0168089907,-0.3009559505611545,0.038442958927102956,-0.0,0.038442958927102956,0.43423099265464615
2024,0.0265035634,-0.002203346275099813,0.0458,0.028706909675099812,0.01709309032490019,0.0182436879,-0.08017408727203433,0.031168928375099797,-0.06999999999999999,0.031168928375099797,0.2864126144550623
2025,0.0319286884,0.005395647254422473,0.0418,0.02653304114557753,0.015266958854422467,0.0145728631,0.06188744617525493,0.08148497704557753,0.040000000000000036,0.08148497704557753,0.20357530686212222
